Konzept;PunkteMax;Nges;mges;sdges;Nint;mint;sdint;Nkon;mkon;sdkon;sig;ges;int;kon;studiengang
ogSK;3;135;1.79;0.915;65;2.20;0.795;70;1.41;0.860;k.a.;gesamt;NaWi;GeWi;Sachunterricht
RPS;4;135;1.27;1.236;65;1.65;1.316;70;0.93;1.054;k.a.;gesamt;NaWi;GeWi;Sachunterricht
I;5;135;2.61;1.398;65;3.42;1.014;70;1.87;1.296;k.a.;gesamt;NaWi;GeWi;Sachunterricht
R;4;135;1.56;1.267;65;1.75;1.335;70;1.39;1.183;k.a.;gesamt;NaWi;GeWi;Sachunterricht
U;9;135;2.13;1.659;65;2.71;1.765;70;1.59;1.357;k.a.;gesamt;NaWi;GeWi;Sachunterricht
