Konzept;PunkteMax;Nges;mges;sdges;Nint;mint;sdint;Nkon;mkon;sdkon;sig;ges;int;kon;studiengang
ogSK;3;51;2.65;0.594;21;2.81;0.402;30;2.53;0.681;n.s.;gesamt;IG;KG;Ingenieurwissenschaften
RPS;4;51;2.31;1.476;21;2.71;1.384;30;2.03;1.497;n.s.;gesamt;IG;KG;Ingenieurwissenschaften
I;5;51;3.25;1.635;21;4.43;1.076;30;2.43;1.455;sig.;gesamt;IG;KG;Ingenieurwissenschaften
R;4;51;2.47;1.270;21;3.10;0.995;30;2.03;1.273;n.s.;gesamt;IG;KG;Ingenieurwissenschaften
U;9;51;4.02;2.731;21;5.48;2.358;30;3.00;2.533;n.s.;gesamt;IG;KG;Ingenieurwissenschaften
