Konzept;PunkteMax;Nges;mges;sdges;Nint;mint;sdint;Nkon;mkon;sdkon;sig;ges;int;kon;studiengang
ogSK;3;51;2.29;0.701;21;2.33;0.658;30;2.27;0.740;n.s.;gesamt;EnWi,ST;MB,BLVT;Ingenieurwissenschaften
RPS;4;51;2.25;1.412;21;2.71;1.189;30;1.93;1.484;n.s.;gesamt;EnWi,ST;MB,BLVT;Ingenieurwissenschaften
I;5;51;2.67;1.424;21;2.81;1.470;30;2.57;1.406;n.s.;gesamt;EnWi,ST;MB,BLVT;Ingenieurwissenschaften
R;4;51;2.35;1.309;21;2.76;1.136;30;2.07;1.363;n.s.;gesamt;EnWi,ST;MB,BLVT;Ingenieurwissenschaften
U;9;51;3.51;2.361;21;4.29;2.327;30;2.97;2.266;n.s.;gesamt;EnWi,ST;MB,BLVT;Ingenieurwissenschaften
